Exposure,Actual Exposure,Plasma_AUC_24h,Milk_Conc,Plasma_AUC_P1M_TD71,Plasma_AUC_P1F_TD29,Reps
100,100,52.2,1.3,19.47,25.3,1
100,100,75.23,2.32,18.17,24.6,2
100,100,78.96,3.84,13.06,31.85,3
100,100,140.35,1.96,19.81,21.72,4
400,400,643.32,9.6,60.76,262.65,1
400,400,996.29,19.33,119.08,201.76,2
400,400,499.26,14.02,50.39,144.95,3
400,400,1403.84,15.66,106.02,242.24,4
800,800,2150.98,42.32,131.4,382.73,1
800,800,2965.77,88.98,135.4,614.63,2
800,800,2636.63,65.79,151.15,1701.33,3
800,800,2125.71,78.7,223.81,1307.49,4
1200,1200,6787.14,122.41,446.18,2039.79,1
1200,1200,4343.76,83.77,818.22,5492.2,2
1200,1200,6149.85,91.32,477.75,2735.16,3
1200,1200,NA,121.19,574.53,6289.16,4
1600,1600,6584.3,209.74,697.46,3835.73,1
1600,1600,6391.77,59.24,672.43,1495.84,2
1600,1600,6369.57,113.9,1006.62,2845.74,3
1600,1600,NA,NA,309.8,4275.05,4
